Row,Truth,Validation,Naive Prob Calabria,Naive Prob Coastal-Sardinia,Naive Prob East-Liguria,Naive Prob Inland-Sardinia,Naive Prob North-Apulia,Naive Prob Sicily,Naive Prob South-Apulia,Naive Prob Umbria,Naive Prob West-Liguria
1,North-Apulia,Validation,2.3843941e-8,6.681279e-67,0.7224610298,2.168927e-78,0.2756767992,0.0018621471,6.62882e-14,4.842178e-12,1.570598e-20
2,North-Apulia,Training,1.3508935e-6,4.414525e-46,0.9384241887,7.907163e-44,0.0594443053,0.002130155,6.653507e-11,9.366309e-56,6.15464e-17
3,North-Apulia,Training,2.510364e-19,1.64262e-111,2.7906123e-6,4.41321e-164,0.9965967499,0.0034004595,4.890565e-22,2.174795e-34,6.959694e-24
4,North-Apulia,Training,1.40238e-15,5.003766e-97,0.0000717825,9.24959e-118,0.9996696848,0.0002585327,1.851748e-21,1.57382e-14,1.585979e-40
5,North-Apulia,Validation,2.5862557e-9,5.335793e-74,0.1001139336,1.151809e-78,0.8979002984,0.0019857654,4.542781e-17,5.562385e-26,1.437951e-38
6,North-Apulia,Training,3.329665e-16,2.18262e-93,3.0804165e-6,4.24872e-106,0.9990396776,0.000957242,1.667389e-21,4.153593e-37,4.825372e-37
7,North-Apulia,Training,1.196328e-15,1.5297e-100,0.0000935683,3.52281e-127,0.9986074112,0.0012990205,1.179102e-20,6.8945e-26,1.101092e-29
8,North-Apulia,Training,9.9064534e-7,2.491084e-56,0.3503361058,1.852117e-56,0.6440729613,0.0055899423,5.577882e-13,4.236152e-39,1.425699e-23
9,North-Apulia,Training,7.6278035e-9,5.610308e-65,0.1237133385,3.006944e-65,0.8735962217,0.0026904322,1.301735e-15,2.364846e-32,3.312168e-37
10,North-Apulia,Validation,1.179867e-13,3.668358e-81,0.0068413545,3.75096e-106,0.0532686075,0.0000163354,1.805923e-17,0.9398737025,4.310817e-15
11,North-Apulia,Validation,6.347265e-16,5.620248e-90,0.0000313945,4.33839e-121,0.0021825659,2.0195474e-6,1.337222e-20,0.99778402,1.37212e-20
12,North-Apulia,Training,2.362663e-11,5.466332e-72,0.0533439076,2.133858e-88,0.9463450982,0.0003109923,2.630039e-16,1.9286141e-9,1.915562e-19
13,North-Apulia,Validation,2.4579019e-7,3.006601e-61,0.2958636077,3.306748e-55,0.6963202378,0.0078159088,1.433662e-13,6.305948e-42,1.155066e-36
14,North-Apulia,Training,3.165389e-20,2.914514e-98,1.9595186e-7,1.10197e-123,0.9989145803,0.0010852238,3.519054e-22,2.262818e-40,7.92771e-36
15,North-Apulia,Training,8.170474e-13,2.318252e-69,0.0000895926,2.081799e-64,0.9977685097,0.0021418977,9.94803e-18,1.469613e-61,1.558885e-36
16,North-Apulia,Validation,0.0224420317,2.765449e-36,0.90171167,1.288569e-28,0.0000114839,0.0758296403,5.1741386e-6,1.676987e-94,1.672628e-15
17,North-Apulia,Validation,3.643924e-10,5.900796e-62,0.0031869573,1.82167e-61,0.0160478937,0.9807651486,2.132481e-11,3.655881e-54,2.948414e-27
18,North-Apulia,Validation,0.7010070577,6.326214e-27,2.7496602e-7,5.582609e-12,1.8589691e-9,0.2988988553,0.0000938102,3.61714e-293,1.660206e-31
19,North-Apulia,Training,2.69832e-13,1.57723e-77,0.000353261,4.812501e-89,0.9868767748,0.0127699641,2.432243e-16,1.136584e-30,3.732377e-33
20,North-Apulia,Training,5.957457e-12,1.975654e-67,0.0084973062,1.529921e-71,0.9812798293,0.0102228645,4.878289e-16,2.799194e-45,7.266345e-32
21,North-Apulia,Training,4.9746133e-8,1.075765e-68,0.3687813008,7.736464e-61,0.630554567,0.0006640825,9.297911e-16,2.618945e-43,5.359643e-44
22,North-Apulia,Validation,5.153214e-12,8.276753e-86,0.001475101,3.592721e-90,0.9923906919,0.006134207,2.163674e-20,2.41563e-34,3.183897e-46
23,North-Apulia,Training,4.671216e-10,6.851049e-72,0.0628285777,2.075034e-66,0.9363464498,0.000824972,1.858838e-17,5.176495e-40,3.117886e-46
24,North-Apulia,Training,7.142544e-11,1.12126e-73,0.00179013,1.309309e-83,0.9926573328,0.0055525371,2.765743e-17,1.656803e-15,8.722393e-32
25,North-Apulia,Validation,3.334251e-10,1.429988e-71,0.0088558121,8.104912e-74,0.9882239842,0.0029202034,2.426357e-17,7.763153e-26,2.624468e-38
26,Calabria,Validation,0.9931766145,2.288506e-39,2.610278e-10,8.13684e-31,1.801977e-22,0.0061562598,0.0006671255,1.62792e-259,2.238649e-28
27,Calabria,Training,0.9023168703,7.522018e-28,2.606438e-14,1.047903e-21,1.117054e-25,0.0179540979,0.0797290318,0,1.41651e-31
28,Calabria,Training,0.9928951532,2.571459e-37,1.257113e-10,8.156964e-31,2.067024e-18,0.0069571869,0.0001476599,0,8.199795e-33
29,Calabria,Validation,0.9732118076,3.236747e-33,3.26301e-14,4.206639e-34,2.543016e-21,0.0263031175,0.0004850749,0,1.246104e-35
30,Calabria,Training,0.9918970969,5.745165e-29,6.3827002e-9,1.736869e-21,6.531093e-16,0.007943256,0.0001596408,1.46015e-313,3.349988e-29
31,Calabria,Validation,0.9770312128,3.02202e-28,8.3372778e-9,1.060861e-18,2.011686e-17,0.0212275445,0.0017412344,1.77131e-282,8.629596e-29
32,Calabria,Training,0.9561427111,5.563503e-39,6.999684e-17,1.363243e-48,2.009441e-25,0.043855575,1.7139199e-6,0,6.568423e-41
33,Calabria,Training,0.9870001687,3.85271e-35,1.6247201e-9,8.332744e-27,3.457463e-18,0.0129120335,0.0000877961,4.21512e-298,8.550554e-36
34,Calabria,Training,0.9771840429,6.650099e-46,8.8639395e-9,8.204323e-34,4.809702e-16,0.0227648109,0.0000511374,5.90354e-240,1.677017e-36
35,Calabria,Training,0.9859620571,3.155874e-36,2.5447268e-7,8.71963e-31,2.956174e-15,0.0140207869,0.0000169015,1.75675e-246,9.233301e-30
36,Calabria,Validation,0.9822022869,1.02689e-46,0.003704672,1.533955e-31,4.1936384e-9,0.0140928275,2.0935084e-7,7.13738e-154,1.861543e-36
37,Calabria,Training,0.8475754336,4.382544e-38,0.0002749841,1.582458e-31,8.4349122e-7,0.15214872,1.8782425e-8,3.24575e-199,5.749064e-29
38,Calabria,Training,0.9994051962,1.946473e-49,4.0393594e-8,3.332841e-35,3.376078e-18,0.0005942806,4.8281094e-7,1.92283e-234,3.110116e-40
39,Calabria,Training,0.976878925,5.023157e-39,4.5671936e-9,7.523056e-39,9.337144e-16,0.0231210541,1.6336417e-8,8.03581e-261,2.071352e-31
40,Calabria,Training,0.9712143915,1.354403e-38,9.230482e-10,9.99183e-32,7.080208e-16,0.0287175441,0.0000680635,0,9.115876e-40
41,Calabria,Training,0.9928537363,1.865843e-35,6.7949235e-6,1.126875e-21,1.402192e-11,0.0071334798,5.9889382e-6,3.32975e-233,5.128868e-32
42,Calabria,Validation,0.9859640269,1.450559e-36,7.241077e-12,4.790224e-37,9.272352e-21,0.0140357603,2.1283792e-7,1.41069e-315,5.85485e-33
43,Calabria,Validation,0.9935231316,8.415312e-32,3.0625e-13,2.428368e-30,1.233355e-22,0.0063998071,0.0000770612,0,4.302122e-34
44,Calabria,Training,0.9931268198,3.031258e-39,8.339801e-14,2.308622e-40,7.455705e-22,0.006865827,7.3532642e-6,0,3.487583e-39
