"","Species","SSI","BTWa","BTWs","BTWp","BTWL","BTPA"
"1","smokiensis",28.09,25.2,25.41,25.7,0.61,1.02
"2","smokiensis",28.18,23.43,23.94,24.45,0.58,1.04
"3","smokiensis",28.82,20.47,21.07,20.85,0.51,1.02
"4","smokiensis",29.41,22.69,22.61,22.94,0.55,1.01
"5","smokiensis",27.84,22.97,22.84,23.42,0.55,1.02
"6","smokiensis",30.05,22.98,22.56,23.28,0.54,1.01
"7","smokiensis",28.46,25.86,26.66,26.81,0.64,1.04
"8","smokiensis",27.99,24.84,25.18,25.33,0.61,1.02
"9","smokiensis",29.83,22.93,23.07,23.59,0.56,1.03
"10","smokiensis",29.97,24.16,23.64,24.13,0.57,1
"11","bohleberi",29.31,24.61,20.85,20.02,0.5,0.81
"12","bohleberi",29.97,23.55,20.23,18.98,0.49,0.81
"13","bohleberi",30.02,22.61,19.76,18.49,0.48,0.82
"14","bohleberi",30.16,26.05,20.87,19.98,0.5,0.77
"15","bohleberi",29.43,25.75,21.27,19.78,0.51,0.77
"16","bohleberi",29.04,22.88,19.54,18.17,0.47,0.79
"17","bohleberi",29.64,23.98,19.81,18.85,0.48,0.79
"18","bohleberi",29.81,23.26,20.73,19.24,0.5,0.83
"19","bohleberi",29.14,24.21,19.63,18.74,0.47,0.77
"20","bohleberi",30.67,24.57,21.96,20.8,0.53,0.85
"21","roanensis",28.14,23.29,21.26,23.01,0.51,0.99
"22","roanensis",28.59,18.35,15.08,15.88,0.36,0.87
"23","roanensis",28.07,21.9,19.04,20.74,0.46,0.95
"24","roanensis",26.34,20.52,18.28,18.31,0.44,0.89
"25","roanensis",27.29,18.99,15.24,16.18,0.37,0.85
"26","roanensis",27.22,20.58,16.82,18.11,0.41,0.88
"27","roanensis",27.93,22.36,19.07,18.58,0.46,0.83
"28","roanensis",29,22.12,17.59,19.34,0.42,0.87
"29","roanensis",29.41,19.33,16.11,17.44,0.39,0.9
"30","roanensis",28.95,21.98,19.21,18.94,0.46,0.86
"31","unakaensis",28.1,19.46,18.15,18.36,0.44,0.94
"32","unakaensis",23.78,22.22,21.29,20.19,0.51,0.91
"33","unakaensis",24.35,24.99,22.8,23.12,0.55,0.93
"34","unakaensis",26.02,22.13,21.62,20.24,0.53,0.92
"35","unakaensis",23.48,20.25,19.6,18.85,0.48,0.93
"36","unakaensis",23.47,21.03,18.74,19.2,0.46,0.91
"37","unakaensis",24.05,22.1,20.79,21.29,0.51,0.96
"38","unakaensis",24.42,18.43,18.69,18.12,0.45,0.98
"39","unakaensis",25.98,19.78,19.83,19.61,0.49,0.99
"40","unakaensis",24.95,20.78,19.47,19.66,0.47,0.95
"41","unakaensis",29.51,23.63,21.36,22.07,0.52,0.93
