PAR_TC,PAR_SC,PAR_SC_V,PAR_ASE1,PAR_ASE2,PAR_ASE3,PAR_ASE4,PAR_ASE5,PAR_ASE6,PAR_ASE7,PAR_ASE8,PAR_ASE9,PAR_ASE10,PAR_ASE11,PAR_ASE12,PAR_ASE13,PAR_ASE14,PAR_ASE15,PAR_ASE16,PAR_ASE17,PAR_ASE18,PAR_ASE19,PAR_ASE20,PAR_ASE21,PAR_ASE22,PAR_ASE23,PAR_ASE24,PAR_ASE25,PAR_ASE26,PAR_ASE27,PAR_ASE28,PAR_ASE29,PAR_ASE30,PAR_ASE31,PAR_ASE32,PAR_ASE33,PAR_ASE34,PAR_ASE_M,PAR_ASEV1,PAR_ASEV2,PAR_ASEV3,PAR_ASEV4,PAR_ASEV5,PAR_ASEV6,PAR_ASEV7,PAR_ASEV8,PAR_ASEV9,PAR_ASEV10,PAR_ASEV11,PAR_ASEV12,PAR_ASEV13,PAR_ASEV14,PAR_ASEV15,PAR_ASEV16,PAR_ASEV17,PAR_ASEV18,PAR_ASEV19,PAR_ASEV20,PAR_ASEV21,PAR_ASEV22,PAR_ASEV23,PAR_ASEV24,PAR_ASEV25,PAR_ASEV26,PAR_ASEV27,PAR_ASEV28,PAR_ASEV29,PAR_ASEV30,PAR_ASEV31,PAR_ASEV32,PAR_ASEV33,PAR_ASEV34,PAR_ASE_MV,PAR_ASC,PAR_ASC_V,PAR_ASS,PAR_ASS_V,PAR_SFM1,PAR_SFM2,PAR_SFM3,PAR_SFM4,PAR_SFM5,PAR_SFM6,PAR_SFM7,PAR_SFM8,PAR_SFM9,PAR_SFM10,PAR_SFM11,PAR_SFM12,PAR_SFM13,PAR_SFM14,PAR_SFM15,PAR_SFM16,PAR_SFM17,PAR_SFM18,PAR_SFM19,PAR_SFM20,PAR_SFM21,PAR_SFM22,PAR_SFM23,PAR_SFM24,PAR_SFM_M,PAR_SFMV1,PAR_SFMV2,PAR_SFMV3,PAR_SFMV4,PAR_SFMV5,PAR_SFMV6,PAR_SFMV7,PAR_SFMV8,PAR_SFMV9,PAR_SFMV10,PAR_SFMV11,PAR_SFMV12,PAR_SFMV13,PAR_SFMV14,PAR_SFMV15,PAR_SFMV16,PAR_SFMV17,PAR_SFMV18,PAR_SFMV19,PAR_SFMV20,PAR_SFMV21,PAR_SFMV22,PAR_SFMV23,PAR_SFMV24,PAR_SFM_MV,PAR_MFCC1,PAR_MFCC2,PAR_MFCC3,PAR_MFCC4,PAR_MFCC5,PAR_MFCC6,PAR_MFCC7,PAR_MFCC8,PAR_MFCC9,PAR_MFCC10,PAR_MFCC11,PAR_MFCC12,PAR_MFCC13,PAR_MFCC14,PAR_MFCC15,PAR_MFCC16,PAR_MFCC17,PAR_MFCC18,PAR_MFCC19,PAR_MFCC20,PAR_MFCCV1,PAR_MFCCV2,PAR_MFCCV3,PAR_MFCCV4,PAR_MFCCV5,PAR_MFCCV6,PAR_MFCCV7,PAR_MFCCV8,PAR_MFCCV9,PAR_MFCCV10,PAR_MFCCV11,PAR_MFCCV12,PAR_MFCCV13,PAR_MFCCV14,PAR_MFCCV15,PAR_MFCCV16,PAR_MFCCV17,PAR_MFCCV18,PAR_MFCCV19,PAR_MFCCV20,PAR_THR_1RMS_TOT,PAR_THR_2RMS_TOT,PAR_THR_3RMS_TOT,PAR_THR_1RMS_10FR_MEAN,PAR_THR_1RMS_10FR_VAR,PAR_THR_2RMS_10FR_MEAN,PAR_THR_2RMS_10FR_VAR,PAR_THR_3RMS_10FR_MEAN,PAR_THR_3RMS_10FR_VAR,PAR_PEAK_RMS_TOT,PAR_PEAK_RMS10FR_MEAN,PAR_PEAK_RMS10FR_VAR,PAR_ZCD,PAR_1RMS_TCD,PAR_2RMS_TCD,PAR_3RMS_TCD,PAR_ZCD_10FR_MEAN,PAR_ZCD_10FR_VAR,PAR_1RMS_TCD_10FR_MEAN,PAR_1RMS_TCD_10FR_VAR,PAR_2RMS_TCD_10FR_MEAN,PAR_2RMS_TCD_10FR_VAR,PAR_3RMS_TCD_10FR_MEAN,PAR_3RMS_TCD_10FR_VAR,GENRE
2.5788,481.45,76989,-0.12334,-0.11578,-0.11176,-0.10412,-0.1061,-0.11026,-0.11375,-0.12465,-0.13659,-0.13951,-0.14003,-0.13893,-0.14148,-0.14381,-0.1348,-0.14171,-0.13776,-0.13583,-0.15682,-0.15475,-0.16083,-0.16729,-0.18417,-0.19052,-0.19453,-0.19683,-0.20213,-0.20207,-0.19913,-0.19641,-0.19463,-0.21215,-0.29258,-0.32599,-0.16268,0.0012154,0.0015643,0.001038,0.00046351,0.00036899,0.0004534,0.00053314,0.00054338,0.00055126,0.00044516,0.00033043,0.00034434,0.00027495,0.00043542,0.00061809,0.00074081,0.00067581,0.00086724,0.00037686,0.00049483,0.00036974,0.00033488,0.00033043,0.00028822,0.00015713,0.0001369,0.0002202,0.00017953,0.00037078,0.00020758,0.00018749,0.00026867,0.0024834,0.0010514,0.00055652,-2.4276,0.75598,1.5687,0.15108,0.17938,0.0057293,0.1135,0.10933,0.063612,0.045821,0.036264,0.027982,0.050011,0.049038,0.038022,0.030638,0.078445,0.06183,0.053839,0.040295,0.093232,0.072646,0.053754,0.04334,0.10805,0.096389,0.019123,0.028012,0.062428,0.0025483,0.00000253,0.0011521,0.00102,0.00045436,0.00046415,0.00037402,0.00022531,0.00092161,0.000371,0.00026287,0.0001605,0.00067667,0.00050802,0.00040085,0.00034303,0.0010873,0.00083717,0.00050254,0.00034293,0.00068304,0.00036248,0.0003606,0.0011564,0.00063407,0.77504,-0.22118,-0.30202,0.055128,-0.055761,-0.0062427,0.15985,0.11494,-0.043962,0.051054,0.04297,0.085788,0.078987,0.10187,0.016006,-0.044295,-0.021409,-0.051371,-0.021553,-0.09755,0.77504,-0.22118,-0.30202,0.055128,-0.055761,-0.0062427,0.15985,0.11494,-0.043962,0.051054,0.04297,0.085788,0.078987,0.10187,0.016006,-0.044295,-0.021409,-0.051371,-0.021553,-0.09755,0.1425,0.025256,0.0029705,0.14647,0.00016059,0.021437,0.0000355,0.0023837,0.00000418,3.9295,4.0001,0.323,0.040866,0.048272,0.011002,0.0020317,0.041056,0.0000907,0.049627,0.00023123,0.011265,0.0000241,0.0021769,0.0000028,Pop
2.4465,637.73,122580,-0.14995,-0.14802,-0.138,-0.12927,-0.12515,-0.1234,-0.12159,-0.1201,-0.12907,-0.12677,-0.1207,-0.13761,-0.13426,-0.1263,-0.12385,-0.14257,-0.13364,-0.14069,-0.14241,-0.14518,-0.15895,-0.16636,-0.17683,-0.18304,-0.18887,-0.1919,-0.1937,-0.1945,-0.19605,-0.19451,-0.19796,-0.20965,-0.31891,-0.31638,-0.16312,0.00042212,0.00062503,0.00075618,0.00091102,0.0010726,0.0010408,0.00075849,0.00050179,0.00040226,0.00025394,0.00030985,0.00020781,0.00035561,0.00037855,0.00088678,0.00066173,0.0010374,0.00068492,0.00087448,0.00073342,0.00075056,0.00040329,0.00025303,0.00019483,0.00022051,0.0002195,0.00030764,0.00033445,0.00038523,0.00038164,0.00039708,0.00059078,0.00040551,0.00040808,0.00053315,-1.5918,0.87345,1.2331,0.10608,0.18282,0.005473,0.10413,0.11181,0.073783,0.056566,0.041558,0.028852,0.05373,0.048066,0.031599,0.026329,0.065736,0.066128,0.061538,0.049525,0.1112,0.094669,0.078306,0.063064,0.1219,0.10834,0.0085557,0.081483,0.069798,0.001931,0.00000289,0.00093534,0.00085234,0.00041178,0.00058879,0.0003003,0.00027414,0.00069782,0.00057816,0.00030224,0.00021913,0.0010481,0.00041113,0.00031375,0.00018482,0.00030931,0.00023049,0.00015408,0.00010699,0.00019071,0.00015168,0.00011357,0.00000806,0.00042986,0.82134,-0.10203,-0.32643,0.063137,-0.056117,-0.035876,-0.070871,0.041069,0.028506,-0.00000399,0.020086,-0.012384,0.047856,0.076438,-0.010263,0.052774,-0.071546,-0.03991,-0.12917,-0.064042,0.82134,-0.10203,-0.32643,0.063137,-0.056117,-0.035876,-0.070871,0.041069,0.028506,-0.00000399,0.020086,-0.012384,0.047856,0.076438,-0.010263,0.052774,-0.071546,-0.03991,-0.12917,-0.064042,0.13524,0.033247,0.0055918,0.1407,0.00053078,0.030237,0.0000892,0.0049306,0.0000259,5.2128,5.4222,1.7492,0.047655,0.035492,0.011283,0.0025034,0.045159,0.00035586,0.037388,0.000118,0.011897,0.000045,0.0026449,0.00000561,Jazz
2.7737,447.09,8531.9,-0.16128,-0.15742,-0.15769,-0.14861,-0.13812,-0.12762,-0.12145,-0.11567,-0.1097,-0.10692,-0.1056,-0.10779,-0.10047,-0.10348,-0.11032,-0.11985,-0.12806,-0.13216,-0.1352,-0.14038,-0.16041,-0.17752,-0.19239,-0.19193,-0.19474,-0.20308,-0.20507,-0.21319,-0.22473,-0.23016,-0.22602,-0.25514,-0.27254,-0.26947,-0.16306,0.00019542,0.00025934,0.00021869,0.00021258,0.00026582,0.00030403,0.00028653,0.00024741,0.00030852,0.00037597,0.0002981,0.00042239,0.00040799,0.00025097,0.00020709,0.00031241,0.00028638,0.00034653,0.00039179,0.00037114,0.00029029,0.00016031,0.00019354,0.00024195,0.00018464,0.00020667,0.00018573,0.00017282,0.00011228,0.00017073,0.00019656,0.0005392,0.00020766,0.00020339,0.00026573,-1.407,0.091631,0.76567,0.025479,0.17236,0.0048593,0.10172,0.090087,0.053778,0.040363,0.032733,0.029628,0.054453,0.04981,0.02643,0.030405,0.074366,0.066063,0.055794,0.04812,0.11138,0.09798,0.070942,0.064271,0.1223,0.087007,0.050253,0.082653,0.067407,0.0030343,0.00000404,0.0010657,0.0017892,0.00054442,0.00050743,0.00036787,0.00020213,0.00059991,0.00063487,0.0002932,0.00018444,0.000773,0.00047309,0.00044286,0.00027919,0.0005314,0.00039102,0.0003556,0.00021528,0.00040274,0.00047687,0.00080265,0.000000805,0.00059883,2.8542,0.062971,-0.37967,0.092066,0.20406,-0.26764,-0.20248,-0.093262,-0.018481,-0.030031,0.024349,-0.13616,0.0044052,-0.0036661,-0.016572,-0.057492,-0.017557,-0.060575,-0.10335,-0.091161,2.8542,0.062971,-0.37967,0.092066,0.20406,-0.26764,-0.20248,-0.093262,-0.018481,-0.030031,0.024349,-0.13616,0.0044052,-0.0036661,-0.016572,-0.057492,-0.017557,-0.060575,-0.10335,-0.091161,0.11782,0.032449,0.0071066,0.13882,0.00037843,0.026291,0.0000525,0.0048054,0.0000115,7.5644,9.9364,19.965,0.023329,0.020213,0.0071837,0.0019773,0.023864,0.0000141,0.021595,0.00022824,0.0075048,0.0000729,0.001883,0.00000667,Classical
2.5227,498.42,67935,-0.15206,-0.14469,-0.12817,-0.11443,-0.10792,-0.1094,-0.11545,-0.11952,-0.1219,-0.1258,-0.13722,-0.14209,-0.12092,-0.12436,-0.15149,-0.15296,-0.12547,-0.14235,-0.12557,-0.14139,-0.15047,-0.16661,-0.18113,-0.1859,-0.18547,-0.18252,-0.19683,-0.2167,-0.21339,-0.22331,-0.22804,-0.24267,-0.28741,-0.28459,-0.16318,0.00054018,0.00059572,0.00037602,0.00031484,0.00033553,0.00046017,0.00041524,0.00030133,0.0004275,0.00035697,0.0004459,0.00042977,0.00074818,0.00049648,0.00056959,0.00087313,0.00049858,0.00078726,0.00054392,0.0011066,0.00054875,0.00062249,0.00035634,0.00022531,0.00017012,0.00027646,0.00026276,0.00013459,0.00014415,0.00018353,0.00031289,0.00061323,0.00089972,0.00089238,0.0004784,-1.7319,0.7646,1.135,0.10572,0.1299,0.0036808,0.060406,0.061964,0.029602,0.040499,0.022661,0.015275,0.03886,0.024462,0.016107,0.018697,0.057927,0.050221,0.045734,0.034437,0.072161,0.061655,0.063138,0.050007,0.099278,0.090486,0.041575,0.082681,0.050476,0.0043952,0.00000389,0.0016501,0.001065,0.00038541,0.00049,0.00029128,0.00017169,0.00081521,0.0003631,0.00024413,0.00020384,0.001375,0.0009605,0.00065126,0.00033536,0.0013423,0.0013065,0.00059107,0.00040012,0.0009632,0.00049992,0.00086753,0.000000695,0.00080718,1.9003,-0.50286,-0.32628,0.10193,0.47788,-0.34451,0.14106,-0.086273,0.029565,-0.063964,-0.12109,-0.1212,-0.039713,0.12393,0.066651,0.068175,-0.10043,-0.043547,-0.025918,-0.081863,1.9003,-0.50286,-0.32628,0.10193,0.47788,-0.34451,0.14106,-0.086273,0.029565,-0.063964,-0.12109,-0.1212,-0.039713,0.12393,0.066651,0.068175,-0.10043,-0.043547,-0.025918,-0.081863,0.12448,0.02337,0.0043175,0.13039,0.00025203,0.023162,0.0000737,0.0028789,0.00000485,7.1634,19.051,758.77,0.028295,0.028975,0.010739,0.0030023,0.026536,0.00014263,0.023445,0.00040261,0.0074558,0.0000652,0.0018177,0.00000837,Jazz
2.468,667.05,59358,-0.13854,-0.13176,-0.12585,-0.11932,-0.11844,-0.1224,-0.12335,-0.11728,-0.11412,-0.11828,-0.12812,-0.13443,-0.13405,-0.13164,-0.13355,-0.13799,-0.13501,-0.14099,-0.14474,-0.14288,-0.1444,-0.14557,-0.15634,-0.1622,-0.16698,-0.17935,-0.18022,-0.19685,-0.20849,-0.21576,-0.23463,-0.26509,-0.32649,-0.32362,-0.16173,0.00064463,0.00078317,0.00051626,0.00031796,0.00027891,0.00024188,0.00025035,0.00018357,0.0002886,0.00023131,0.00024046,0.00024663,0.00028689,0.00036347,0.0004897,0.00054477,0.00040614,0.00058526,0.00024676,0.00030712,0.00022264,0.00025534,0.00018039,0.00013964,0.0001428,0.0001597,0.00014578,0.00018058,0.0002779,0.00029617,0.00044796,0.00079725,0.00040777,0.00042322,0.00033915,-1.5657,0.46687,1.5426,0.077336,0.17439,0.0056307,0.11177,0.10893,0.064176,0.050248,0.041526,0.035492,0.059871,0.055616,0.04722,0.040908,0.083142,0.069881,0.059975,0.051756,0.11148,0.093428,0.063519,0.054289,0.09708,0.070288,0.027434,0.082591,0.069193,0.00262,0.00000258,0.00070084,0.001014,0.00065364,0.00067181,0.00040054,0.00027366,0.00068934,0.00058709,0.00028658,0.00016144,0.0005218,0.00029693,0.00021232,0.00012779,0.00025842,0.00025408,0.00046581,0.00028091,0.00076552,0.0010599,0.00078005,0.00000318,0.00054534,0.28999,-0.4732,0.15126,-0.054614,-0.022098,-0.095945,0.16857,-0.023945,0.078854,-0.052577,0.10458,-0.048398,0.067286,-0.01722,0.061963,-0.048643,-0.038629,-0.0387,-0.14568,-0.036841,0.28999,-0.4732,0.15126,-0.054614,-0.022098,-0.095945,0.16857,-0.023945,0.078854,-0.052577,0.10458,-0.048398,0.067286,-0.01722,0.061963,-0.048643,-0.038629,-0.0387,-0.14568,-0.036841,0.15033,0.025977,0.0023265,0.1507,0.0000404,0.026057,0.00000763,0.0021714,0.00000178,5.5586,5.5836,0.14662,0.046871,0.053324,0.01298,0.0016871,0.044163,0.000037,0.051064,0.0000896,0.012615,0.0000135,0.0017306,0.0000012,Rock
2.3166,282.55,7633.1,-0.11642,-0.10869,-0.099016,-0.094935,-0.095525,-0.10414,-0.12108,-0.11593,-0.10558,-0.10267,-0.11658,-0.13043,-0.12693,-0.11716,-0.13067,-0.13589,-0.14165,-0.12408,-0.14279,-0.14475,-0.15506,-0.17205,-0.17215,-0.1876,-0.19962,-0.20939,-0.20843,-0.22825,-0.24118,-0.24583,-0.25555,-0.26796,-0.27475,-0.27211,-0.16073,0.00047552,0.00056033,0.00044287,0.00024605,0.00021103,0.00019803,0.00047035,0.00022946,0.00013134,0.00029577,0.00041922,0.00023842,0.00046149,0.00087519,0.00018074,0.00030593,0.00035968,0.00017746,0.00022439,0.0001727,0.00029288,0.00028807,0.00020835,0.00033023,0.00046163,0.00027774,0.00049521,0.00022819,0.00015746,0.0001527,0.00014117,0.00019345,0.00022144,0.00021948,0.00030423,-2.4727,0.33097,1.2069,0.054351,0.16089,0.0051354,0.083273,0.0764,0.050164,0.036798,0.027952,0.016651,0.031558,0.027468,0.024409,0.018729,0.061578,0.038821,0.038297,0.040379,0.093477,0.081123,0.056854,0.058996,0.11714,0.10618,0.087823,0.082909,0.059292,0.0029636,0.00000472,0.0012189,0.0016226,0.00076244,0.00062678,0.00025703,0.00011464,0.00047567,0.00024108,0.00020362,0.00015321,0.00077965,0.0004034,0.00042693,0.00041074,0.0012344,0.0008982,0.00082925,0.00035153,0.00068513,0.00043313,0.00035297,1.71e-9,0.00064374,2.6984,-0.57396,0.078569,0.025763,0.20831,0.01145,0.028985,-0.21312,0.072713,-0.25901,0.20468,0.11105,0.11561,-0.11424,0.063321,-0.023038,-0.038681,-0.058178,-0.11753,-0.016172,2.6984,-0.57396,0.078569,0.025763,0.20831,0.01145,0.028985,-0.21312,0.072713,-0.25901,0.20468,0.11105,0.11561,-0.11424,0.063321,-0.023038,-0.038681,-0.058178,-0.11753,-0.016172,0.12466,0.029261,0.0062358,0.1585,0.00036474,0.021344,0.0000615,0.0016327,0.00000321,7.1757,9.3241,17.935,0.017288,0.016839,0.0054059,0.0013787,0.016882,0.0000101,0.015951,0.0000702,0.004615,0.0000225,0.0010884,0.00000218,Jazz
2.5166,1040.9,227810,-0.15292,-0.14331,-0.12449,-0.1152,-0.1096,-0.10984,-0.10818,-0.10742,-0.11564,-0.14104,-0.15489,-0.14324,-0.15676,-0.16961,-0.1719,-0.17569,-0.18094,-0.18255,-0.18362,-0.15653,-0.17599,-0.15492,-0.13438,-0.13596,-0.14522,-0.16128,-0.16073,-0.18617,-0.18985,-0.20048,-0.21774,-0.24337,-0.27281,-0.31272,-0.16456,0.0006967,0.00080655,0.00060578,0.00044799,0.00035163,0.00034297,0.00040757,0.0003941,0.00046035,0.00049301,0.00032223,0.00045795,0.00030542,0.00031057,0.00027008,0.00036441,0.00035185,0.00022104,0.00027014,0.00018223,0.00012579,0.00012642,0.00012317,0.0000978,0.0000808,0.0000649,0.0000665,0.0000994,0.0000901,0.0001275,0.00013656,0.00026574,0.00025126,0.00026785,0.00029371,-1.5974,0.58244,1.9652,0.14028,0.1631,0.0055242,0.095739,0.096346,0.07539,0.061191,0.049126,0.041786,0.077022,0.054341,0.042657,0.041922,0.085477,0.078566,0.071825,0.053496,0.12189,0.094708,0.075478,0.061201,0.12082,0.092845,0.063857,0.042232,0.073606,0.0037331,0.00000312,0.0011768,0.0013441,0.00046774,0.00038635,0.00024002,0.0001834,0.00050811,0.00054148,0.00026455,0.00010746,0.00033167,0.00019889,0.00011668,0.0000912,0.00013697,0.00012053,0.000094,0.0000458,0.00011949,0.00019868,0.00023932,0.00015863,0.00045034,-1.6066,0.23421,1.0066,-0.055511,0.36408,0.14512,-0.074243,0.023732,0.32889,-0.033171,-0.036606,-0.093144,0.23107,-0.029289,-0.046437,0.089504,-0.046663,-0.0015628,-0.085942,-0.056284,-1.6066,0.23421,1.0066,-0.055511,0.36408,0.14512,-0.074243,0.023732,0.32889,-0.033171,-0.036606,-0.093144,0.23107,-0.029289,-0.046437,0.089504,-0.046663,-0.0015628,-0.085942,-0.056284,0.15727,0.023955,0.0016599,0.15953,0.0000826,0.024343,0.0000117,0.0012626,0.00000108,3.7956,3.8434,0.12224,0.075288,0.090893,0.02068,0.0016417,0.076691,0.00016405,0.092506,0.00014187,0.020702,0.0000273,0.0017197,0.00000219,Rock
2.3722,1064.3,344400,-0.14397,-0.14321,-0.14015,-0.13437,-0.1312,-0.13385,-0.1385,-0.14581,-0.15538,-0.15533,-0.15231,-0.13108,-0.12584,-0.13837,-0.12907,-0.14131,-0.15776,-0.17203,-0.15569,-0.15357,-0.1609,-0.16313,-0.1578,-0.1645,-0.16109,-0.17353,-0.17399,-0.18093,-0.18392,-0.18173,-0.19197,-0.20179,-0.31511,-0.31295,-0.16477,0.00043394,0.00057696,0.00058018,0.00052015,0.00047095,0.0003795,0.00040874,0.00032173,0.00044351,0.00059523,0.00076523,0.00081823,0.00055073,0.00077131,0.00084001,0.00090069,0.00051957,0.00030206,0.00063668,0.0005142,0.00085746,0.0010138,0.00087001,0.00070856,0.00067093,0.00030472,0.00029124,0.00035944,0.00017442,0.00017453,0.00012645,0.00013823,0.00035165,0.0003819,0.00052273,-0.93049,0.99799,1.4931,0.14843,0.15533,0.0039641,0.087249,0.07619,0.058766,0.052392,0.03706,0.032353,0.061164,0.053114,0.03615,0.025265,0.071476,0.055965,0.055305,0.045182,0.094102,0.074252,0.060455,0.055655,0.11137,0.10255,0.0059934,0.081646,0.062206,0.0036223,0.00000463,0.0011884,0.0017929,0.00075979,0.00053734,0.00043485,0.00033068,0.0010706,0.00071256,0.00044979,0.00034278,0.0016134,0.00083835,0.0005957,0.00048535,0.0012675,0.00072159,0.00046415,0.0003274,0.00080944,0.00057085,0.0000241,0.000017,0.00079089,-0.0053327,0.23832,0.26029,-0.055653,-0.11436,-0.37176,-0.29248,-0.068828,-0.012876,-0.020736,-0.13047,-0.020092,0.036475,-0.054801,0.099352,-0.0020574,-0.073741,-0.0038851,-0.1524,0.015008,-0.0053327,0.23832,0.26029,-0.055653,-0.11436,-0.37176,-0.29248,-0.068828,-0.012876,-0.020736,-0.13047,-0.020092,0.036475,-0.054801,0.099352,-0.0020574,-0.073741,-0.0038851,-0.1524,0.015008,0.1351,0.026821,0.0057642,0.14979,0.00018663,0.02578,0.0000135,0.0025034,0.00000104,6.6407,7.7382,2.3996,0.070181,0.075537,0.022213,0.0062585,0.070019,0.00016936,0.070068,0.00050928,0.015951,0.00014687,0.0030912,0.0000243,Jazz
2.6085,480.13,23429,-0.13584,-0.13922,-0.12747,-0.11923,-0.11466,-0.11749,-0.11999,-0.12002,-0.12553,-0.10663,-0.095655,-0.10322,-0.099922,-0.10726,-0.1178,-0.12296,-0.11752,-0.12426,-0.15479,-0.15654,-0.15943,-0.15894,-0.17009,-0.18465,-0.18275,-0.19911,-0.2199,-0.22688,-0.23172,-0.24044,-0.25244,-0.26597,-0.27965,-0.27662,-0.16102,0.00023402,0.00037395,0.00056781,0.00067605,0.00062019,0.00058021,0.00049723,0.00038096,0.00041926,0.0002931,0.0004213,0.00038056,0.00056165,0.00029517,0.0006324,0.00041337,0.00050895,0.00055882,0.0001655,0.00027933,0.00032725,0.00051862,0.00039726,0.0003333,0.00065379,0.00042019,0.00017429,0.00017276,0.00012813,0.00011184,0.000213,0.00027605,0.00049408,0.00048296,0.00039892,-1.4909,0.23527,1.0136,0.14521,0.15811,0.0045781,0.092606,0.073871,0.056523,0.035557,0.0306,0.018251,0.037584,0.043366,0.032858,0.02363,0.061038,0.047113,0.047763,0.040002,0.075395,0.084358,0.072281,0.059276,0.11241,0.099051,0.078691,0.082841,0.061156,0.0032787,0.00000243,0.00091021,0.0010961,0.00078249,0.00055047,0.00022886,0.00014295,0.00074843,0.00047522,0.00028089,0.00014523,0.0011646,0.00051815,0.00049945,0.00047029,0.0014965,0.0010566,0.00055027,0.00040787,0.00055502,0.00069572,0.00073045,0.000000102,0.00069946,2.7116,-0.27982,0.30018,-0.51251,-0.062123,-0.032117,0.23715,-0.1148,-0.34093,-0.04176,-0.093635,0.018743,0.029748,-0.055461,0.044563,-0.041251,-0.0033552,-0.082841,-0.14414,-0.078368,2.7116,-0.27982,0.30018,-0.51251,-0.062123,-0.032117,0.23715,-0.1148,-0.34093,-0.04176,-0.093635,0.018743,0.029748,-0.055461,0.044563,-0.041251,-0.0033552,-0.082841,-0.14414,-0.078368,0.13854,0.026875,0.0046213,0.15521,0.00058951,0.021284,0.00000634,0.002019,0.0000138,5.1641,6.9434,10.598,0.02654,0.027283,0.0065125,0.0013243,0.026171,0.0000685,0.024844,0.0002648,0.0057687,0.0000466,0.0011973,0.00000393,Classical
2.5377,966.98,191500,-0.13129,-0.12222,-0.11508,-0.10728,-0.10529,-0.10511,-0.10956,-0.11811,-0.12872,-0.13833,-0.14304,-0.14514,-0.16184,-0.17053,-0.17463,-0.17661,-0.17906,-0.17851,-0.17285,-0.15843,-0.1677,-0.15061,-0.13468,-0.14028,-0.15403,-0.1681,-0.17888,-0.18568,-0.19099,-0.21598,-0.23068,-0.25492,-0.2736,-0.29752,-0.16427,0.00073567,0.00087424,0.0004761,0.00027685,0.00027619,0.00037189,0.00037546,0.00018794,0.00027323,0.00030201,0.00021057,0.00037255,0.00031342,0.00024425,0.00038383,0.00053154,0.0004239,0.00043839,0.00021189,0.00017745,0.00027502,0.00011666,0.00010238,0.0000819,0.0000729,0.0000857,0.00011097,0.0001877,0.000269,0.00027675,0.00023752,0.00022321,0.00037186,0.00025917,0.00029788,-1.8312,0.56111,2.1006,0.063261,0.17819,0.0057315,0.10178,0.10566,0.078454,0.059853,0.047901,0.040116,0.0773,0.068519,0.055331,0.046582,0.09427,0.08421,0.075171,0.054494,0.11936,0.097081,0.081688,0.056599,0.11907,0.096647,0.074496,0.062057,0.078357,0.0027232,0.00000267,0.001191,0.0012184,0.00049362,0.00053777,0.00030479,0.0001817,0.00041727,0.00027013,0.0001719,0.00013737,0.00038067,0.00013348,0.0000965,0.0000969,0.00013037,0.00020385,0.00007,0.000068,0.00013376,0.00011531,0.00011155,0.0000703,0.00038586,-1.4125,-0.10814,0.92593,-0.032584,0.19251,0.2649,-0.049719,0.071402,0.18609,0.046425,-0.059886,0.017635,0.10592,0.052094,-0.045555,0.099615,-0.06404,-0.05191,-0.051538,-0.042332,-1.4125,-0.10814,0.92593,-0.032584,0.19251,0.2649,-0.049719,0.071402,0.18609,0.046425,-0.059886,0.017635,0.10592,0.052094,-0.045555,0.099615,-0.06404,-0.05191,-0.051538,-0.042332,0.15846,0.020599,0.0014966,0.15972,0.0000407,0.020816,0.0000176,0.0014422,0.000000804,3.3584,3.3813,0.03527,0.07093,0.086027,0.020308,0.0026213,0.070961,0.00020867,0.085366,0.00036604,0.019712,0.0000189,0.0024163,0.000000905,Rock
